"[array([84.12360524,  3.02970363]), array([92.86049993,  7.82726424]), array([79.14238768,  5.39248885])]","[array([88.58446411, 24.01610321]), array([94.3907293,  4.0233111]), array([82.91756574,  7.42730769])]","[array([90.88754948,  8.8569444 ]), array([91.24900726,  6.67220082]), array([94.41763921,  4.10086747])]","[array([91.79557227, 11.79817801]), array([90.11327046, 13.14263005]), array([94.41786906, 11.9446387 ])]","[array([93.46846862,  8.96348171]), array([89.44416876, 16.34911713]), array([91.16909297,  2.41353708])]","[array([93.34857477, 13.24296   ]), array([88.32371809,  3.13071092]), array([90.06184783,  2.92006356])]","[array([88.70430778, 12.25291526]), array([92.63588429,  4.71347488]), array([101.70898005,  15.44627619])]","[array([96.42763817, 14.78474487]), array([89.21127315, 19.5152657 ]), array([95.43512544,  6.57813243])]"
"[array([9.28445442e+01, 3.11432023e-03]), array([93.90351696, 12.22397884]), array([88.05571307, 13.90746571]), array([88.12788636, 13.30108551]), array([91.46186687, 12.02630938])]","[array([90.42753446,  5.59897818]), array([89.80968043,  9.25341266]), array([93.4949996 , 10.44687666]), array([91.03343518, 12.25832916]), array([93.8464417 , 16.30074795])]","[array([96.26991979,  8.87613273]), array([98.45529413,  9.04000284]), array([91.21626156, 15.48477842]), array([90.02868014,  4.69999275]), array([81.78827284, 19.00987424])]","[array([95.9967557 , 14.95966579]), array([97.63890426, 28.42333455]), array([82.31767791, 16.74896392]), array([83.17728668,  8.38248138]), array([92.24057742,  2.56700115])]","[array([92.73917174, 17.89685501]), array([87.98121878, 15.9755798 ]), array([89.48157043,  6.46972729]), array([86.18377101,  2.68091447]), array([85.70238363, 10.58094648])]","[array([84.14207477,  0.55394787]), array([94.41470284, 16.06169192]), array([88.4427855 ,  6.48022448]), array([91.08361579, 14.11993542]), array([94.68799724, 13.51424998])]","[array([98.11347178, 28.34616422]), array([98.08088446, 13.25628353]), array([94.3902637 ,  4.57048889]), array([90.98569663, 17.92456487]), array([84.47087657, 18.98408362])]","[array([89.70853404, 19.86307967]), array([96.30948047,  8.51120598]), array([88.78347423,  6.32160724]), array([90.20081332, 10.1594876 ]), array([88.91377922,  3.79011127])]"
"[array([96.04595818, 22.0103986 ]), array([95.29852934,  6.713234  ]), array([95.12728112, 18.88866761]), array([96.90642514, 16.15342765]), array([98.28884168, 12.92495875]), array([93.17927852, 13.2077633 ]), array([94.37344257,  9.76105843]), array([96.19324763, 17.47201936])]","[array([94.63665565,  5.66587812]), array([90.38152094,  4.62385238]), array([82.71578445,  1.44855207]), array([85.56056765,  4.48635027]), array([91.83511462, 11.68848293]), array([87.45729389, 16.47429782]), array([89.88388032,  7.68090431]), array([92.85462271, 24.69531561])]","[array([92.15464093, 19.85625326]), array([90.18258709,  1.80939164]), array([91.64902888,  1.99344016]), array([81.7965518 ,  3.08698698]), array([86.28635553,  7.03069284]), array([83.14397458,  2.70746119]), array([85.82571584,  9.1273693 ]), array([93.51867877,  1.24314936])]","[array([94.02581831, 14.14926356]), array([89.16594385, 10.59497933]), array([83.308586  ,  3.03833619]), array([81.03686661,  3.25314496]), array([91.221376 , 13.2097171]), array([92.42476931, 19.02249886]), array([98.03231219,  9.79469647]), array([95.63310329,  6.50046255])]","[array([94.94607899,  9.54123171]), array([86.70962913, 14.66915546]), array([94.88561396, 16.14385557]), array([90.82022593,  6.03617655]), array([96.85165692, 11.38337223]), array([92.46000378,  6.76397186]), array([87.77954254, 15.362354  ]), array([93.88203059,  7.78172256])]","[array([88.53531942, 16.93377371]), array([90.06508611, 12.03287214]), array([92.85854194, 12.84829404]), array([93.37260023, 11.09144248]), array([86.30407006, 14.51676076]), array([90.65957204,  1.62626138]), array([89.51123208,  9.17659017]), array([95.07521536, 12.07525545])]","[array([92.6636697 ,  8.83281023]), array([84.44360352,  1.67201589]), array([90.21045755,  0.81529643]), array([94.7227055 , 24.70035496]), array([89.93172654,  4.18156425]), array([85.80182484, 16.23692657]), array([91.77560657,  2.98091936]), array([88.74976423,  4.68409542])]","[array([89.03919748, 18.81514086]), array([88.86300417,  9.89771985]), array([92.66414285, 17.82807326]), array([94.35198674,  7.1387512 ]), array([91.12074092, 13.4918919 ]), array([89.98304285, 19.72142626]), array([80.98060701,  0.19248265]), array([94.17476954, 12.80954608])]"
"[array([82.98585232,  6.61235555]), array([86.44271387,  7.60467414]), array([85.95076782, 24.83376122]), array([82.64590855, 37.32133452]), array([90.99091226,  8.56046874]), array([90.73882532, 23.21702859]), array([86.48487945,  2.84125761]), array([90.72422415,  9.97231341]), array([86.87650074,  0.94104523]), array([97.92363628,  5.25787821])]","[array([84.96709667,  7.02107843]), array([92.85225293, 14.21771894]), array([93.15369994, 17.9449729 ]), array([83.89421437,  5.53354036]), array([96.1283546 , 14.26712609]), array([88.94102086, 17.22302239]), array([83.81742672, 14.43024031]), array([82.23775384,  7.49882505]), array([94.19856168,  9.33021333]), array([91.59238826,  3.02900927])]","[array([93.5768629 ,  9.96393191]), array([86.56308623,  3.88495187]), array([87.52744974,  9.52493665]), array([90.59237289,  3.69588526]), array([88.30719094,  6.82898925]), array([82.68881348,  0.68227361]), array([96.80594549,  3.80280435]), array([96.87218533, 12.98921614]), array([92.57802523, 17.43501238]), array([93.45471218, 23.54007414])]","[array([87.22759728,  5.92625885]), array([92.40970274,  9.02213736]), array([91.59658721, 23.91606404]), array([91.9356073 ,  8.30799993]), array([89.03595381, 28.10283272]), array([87.17385541, 16.36679209]), array([96.58344022,  6.09612386]), array([83.26926863,  8.01709606]), array([86.68099037, 20.41237767]), array([84.98649273,  9.14720272])]","[array([97.7937471 ,  0.66951777]), array([93.17923082, 12.53747181]), array([92.22988393, 16.33817715]), array([77.68093094,  2.27030802]), array([93.32778452,  3.01067419]), array([87.56137462,  1.65909212]), array([86.78955534, 12.65173025]), array([84.28147445,  5.08176556]), array([83.03545373, 31.07887724]), array([90.76786059,  4.71726118])]","[array([94.33008377,  9.9439223 ]), array([88.48523819,  5.10749131]), array([92.584434  ,  6.66008858]), array([95.48321314,  6.98797002]), array([91.77582931,  1.66441216]), array([92.72302432, 13.89971039]), array([9.11777655e+01, 1.31314652e-02]), array([87.75985935, 12.7169515 ]), array([87.84464631,  7.36063582]), array([94.61446706,  9.74492471])]","[array([88.03992054,  7.04583918]), array([96.246262  ,  9.25114557]), array([96.09971288,  8.58914988]), array([92.23050684,  5.38178745]), array([83.7747819 , 13.06177615]), array([91.15505622,  2.77021578]), array([97.5776472 , 12.27013113]), array([87.62887842,  9.80654363]), array([88.36942479,  6.0778794 ]), array([96.82809231, 13.31757194])]","[array([93.11349177, 10.60563309]), array([90.82651486, 11.6728579 ]), array([94.53295993, 18.84905777]), array([92.56769633, 11.82361249]), array([91.57339771, 17.93120796]), array([91.82299986,  4.44776736]), array([92.07347913, 11.12947888]), array([90.18262837, 12.62053782]), array([93.97690994,  8.44366716]), array([85.40891455,  1.70967768])]"
